route,key,locale,type,severity,suggestion
(component),"t(""demoModal.errorMessage""),",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.namePlaceholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.emailPlaceholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.role"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.org"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.orgPlaceholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.country"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.countryPlaceholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.product"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.timePreference"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.timePlaceholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.notes"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.notesPlaceholder"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.cancel"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""demoModal.submitting"") : t(""demoModal.submit"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""footer.social.tiktok"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""footer.social.twitter"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""footer.social.linkedin"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""nav.products"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""nav.about"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""nav.getStarted"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""nav.getStarted"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""form.name"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""form.email"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""form.privacyLink"")}",,placeholder,low,Replace with final copy or remove
(component),"t(""form.submit"")}",,placeholder,low,Replace with final copy or remove
